source,class,ndvi_mean,ndvi_std,re_slope_mean,re_slope_std,count
kmeans,cluster_0,0.15096303820610046,0.029409514740109444,-0.006866679526865482,0.04912709817290306,3076258
kmeans,cluster_1,0.19126495718955994,0.04562797397375107,-0.008127640932798386,0.04513378441333771,2998159
kmeans,cluster_2,0.078928641974926,0.03148888051509857,-0.1013600304722786,0.04457208886742592,2629625
kmeans,cluster_3,0.2947095036506653,0.06866767257452011,0.11274244636297226,0.07736696302890778,995273
kmeans,cluster_4,0.04843795672059059,0.02914438769221306,-0.12111138552427292,0.046825967729091644,9395240
sam,trees,0.1670689731836319,0.05248250067234039,-0.02737722359597683,0.05492771044373512,6138144
sam,vegetation,0.34517061710357666,0.04819061607122421,0.15654492378234863,0.07562922686338425,371739
sam,soil,0.06259142607450485,0.03897089138627052,-0.10632044076919556,0.05569624900817871,13489420
