cluster,n,ndti_mean,ndti_median,ndti_std,ndci_mean,ndci_median,ndci_std,rg_mean,rg_median,rg_std,re_r_mean,re_r_median,re_r_std
0,1830710,-0.17119178175926208,-0.17535722255706787,0.03181396797299385,-0.1366269439458847,-0.13518193364143372,0.029739083722233772,0.7089504599571228,0.7016103267669678,0.0474887490272522,0.760779857635498,0.7618321180343628,0.04545288905501366
1,1462543,-0.2647274434566498,-0.26546964049339294,0.028573498129844666,-0.1595335304737091,-0.16176292300224304,0.020468177273869514,0.5821741223335266,0.5804409384727478,0.035679835826158524,0.7253754138946533,0.7215216159820557,0.030820533633232117
2,735283,-0.054943908005952835,-0.0518464669585228,0.027591809630393982,-0.05363502353429794,-0.052742213010787964,0.02148139476776123,0.8971178531646729,0.9014182090759277,0.049068283289670944,0.8989742994308472,0.8998003005981445,0.03847093880176544
3,1271616,-0.2805381119251251,-0.28659722208976746,0.04236948862671852,-0.22283729910850525,-0.21834710240364075,0.028869999572634697,0.5636378526687622,0.5544880628585815,0.05446065589785576,0.6363852620124817,0.6415683031082153,0.035915128886699677
4,156845,-0.15655463933944702,-0.15242086350917816,0.05273579806089401,-0.0022317925468087196,-0.00568285770714283,0.04359804093837738,0.7326532602310181,0.735477089881897,0.07441189140081406,0.999528169631958,0.9886984825134277,0.09182984381914139
