cluster,n,ndti_median,ndci_median,nir_red_median,ndti_mean,ndci_mean,nir_red_mean,ndti_std,ndci_std,nir_red_std,cluster_ordered
2,1198188,-0.2869289815425873,-0.21991240978240967,0.3220157027244568,-0.28098922967910767,-0.22396083176136017,0.3193012773990631,0.04286183416843414,0.029797472059726715,0.0379704013466835,0
1,1339623,-0.2706480324268341,-0.16318687796592712,0.3981759250164032,-0.2721990644931793,-0.16118304431438446,0.39822065830230713,0.02462361566722393,0.022363541647791862,0.0347408652305603,1
0,1333317,-0.18730509281158447,-0.15090470016002655,0.4082143306732178,-0.18377329409122467,-0.15420198440551758,0.4036007523536682,0.02881837822496891,0.02414730377495289,0.03673844039440155,2
4,809472,-0.15540757775306702,-0.10850924253463745,0.4658498167991638,-0.1562081277370453,-0.10454031080007553,0.47545671463012695,0.0422271303832531,0.028016915544867516,0.050366342067718506,3
3,776397,-0.05413176119327545,-0.04822083190083504,0.6943464279174805,-0.06372047960758209,-0.041351452469825745,0.698932945728302,0.040267642587423325,0.029124578461050987,0.05594422668218613,4
