class,n,water_fraction,ndti_median,ndci_median,nir_red_median,tag
0,1198188,0.21956911466141543,-0.2869289815425873,-0.21991240978240967,0.3220157027244568,sediment-dominant
1,1339623,0.2454872157708718,-0.2706480324268341,-0.16318687796592712,0.3981759250164032,sediment-dominant
2,1333317,0.24433163514658338,-0.18730509281158447,-0.15090470016002655,0.4082143306732178,mixed
3,809472,0.14833653014652565,-0.15540757775306702,-0.10850924253463745,0.4658498167991638,mixed (sediment + bio)
4,776397,0.14227550427460378,-0.05413176119327545,-0.04822083190083504,0.6943464279174805,bio-enhanced / clearer
